Study,Title,Organism,Project Type,Description,Factors,Assays,Mission,Experiment Platform,DOI
OSD-48,"Rodent Research-1 (RR1) NASA Validation Flight: Mouse liver transcriptomic, proteomic, epigenomic and histology data",Mus musculus,Spaceflight Study,Translating fundamental biological discoveries from NASA Space Biology program into health risk from space flights has been an ongoing challenge. We propose to use NASA GeneLab database to gain new knowledge on potential systemic responses to space. Unbiased systems biology analysis of transcriptomic data from seven different rodent datasets reveals for the first time the existence of potential 'master regulators' coordinating a systemic response to microgravity and/or space radiation with TGF-β1 being the most common regulator. We hypothesized the space environment leads to the release of biomolecules circulating inside the blood stream. Through datamining we identified 13 candidate microRNAs (miRNA) which are common in all studies and directly interact with TGF-β1 that can be potential circulating factors impacting space biology. This study exemplifies the utility of the GeneLab data repository to aid in the process of performing novel hypothesis-based research.,"Spaceflight
Dissection Condition","transcription profiling
protein expression profiling
Molecular Cellular Imaging
DNA methylation profiling
RNA methylation profiling",SpaceX-4,International Space Station (ISS),10.26030/jq04-0n51
OSD-49,Multi-omic investigations of mouse liver subjected to simulated spaceflight freezing and storage protocols,Mus musculus,Ground Study,"This study compares standard laboratory protocols for tissue freezing and storage with a simulation of the delayed processing of liver specimens and long-term storage protocols used during the Rodent Research-1 (RR-1) payload. Liver samples from twelve-week old female C57BL/6J mice (snap frozen vs. 25 min. slow-frozen and stored for 3 days vs. 1 year) received from the RR-1 project were processed for extraction of RNA, DNA and protein. RNA-seq, whole genome bisulfite sequencing and mass spectrometry proteomics were performed. These multi-omics datasets will help distinguish the effects of freezing and storage time that could confound the interpretation of the Rodent Research-1 datasets.","Sample Preservation Method
Time of Sample Collection After Treatment
Sample Storage Time","transcription profiling
protein expression profiling
DNA methylation profiling",,,10.26030/1190-my17
OSD-50,Evaluation of in vitro macrophage differentiation during space flight,Mus musculus,Spaceflight Study,"We differentiated mouse bone marrow cells in the presence of recombinant macrophage colony stimulating (rM-CSF) factor for 14 days during the flight of space shuttle Space Transportation System (STS)-126. We tested the hypothesis that the receptor expression for M-CSF, c-Fms was reduced. We used flow cytometry to assess molecules on cells that were preserved during flight to define the differentiation state of the developing bone marrow macrophages; including CD11b, CD31, CD44, Ly6C, Ly6G, F4/80, Mac2, c-Fos as well as c-Fms. In addition, RNA was preserved during the flight and was used to perform a gene microarray. We found that there were significant differences in the number of macrophages that developed in space compared to controls maintained on Earth. We found that there were significant changes in the distribution of cells that expressed CD11b, CD31, F4/80, Mac2, Ly6C and c-Fos. However, there were no changes in c-Fms expression and no consistent pattern of advanced or retarded differentiation during space flight. We also found a pattern of transcript levels that would be consistent with a relatively normal differentiation outcome but increased proliferation by the bone marrow macrophages that were assayed after 14 days of space flight. There also was a surprising pattern of space flight influence on genes of the coagulation pathway. These data confirm that a space flight can have an impact on the in vitro development of macrophages from mouse bone marrow cells.","Spaceflight
Cosmic Radiation",transcription profiling,STS-126 / ULF-2,Fluid Processing Apparatus (FPA),10.26030/69kd-nx87
OSD-51,Woman skeletal muscle transcriptome with bed rest and countermeasures.,Homo sapiens,Ground Study,"Microgravity has a dramatic impact on human physiology, illustrated in particular with skeletal muscle impairment. A thorough understanding of the mechanisms leading to loss of muscle mass and structural disorders is necessary for the definition of efficient clinical and spaceflight countermeasures. We investigated the effects of long-term bed rest on transcriptome of soleus (SOL) and vastus lateralis (VL) muscles in healthy women (BRC group, n=8), and the potential beneficial impact of protein supplementation (BRN group, n=8) and of a combined resistance and aerobic training (BRE group, n=8). Gene expression profiles were obtained using an in-house made microarray containing 6681 muscles-relevant genes. A two-class statistical analysis was applied on the 2103 genes with consolidated expression. We identified 472 and 207 modified genes, respectively for SOL and VL in BRC group. Further clustering approaches, identifying relevant biological mechanisms or pathways, underlined five main subclusters. Three are composed almost of upregulated genes involved mainly in nucleic acid and protein metabolism, and two composed almost of downregulated genes involved in energy metabolism. Exercise countermeasure demonstrated a drastic compensatory effect, decreasing the number of differentially-expressed genes by 89 and 96% in SOL and VL. In contrast, nutrition countermeasure had a moderate effect and decreased the number of differentially-expressed genes by 40 and 25% in SOL and VL. Our results allowed reporting a systematic, global and comprehensive view of long-term woman muscle atrophy and brought new lights and insights for space environment and for women who undergo a long-term clinical bed rest. Biological samples were collected from Pre- and Post- bed rest (BR) soleus and vastus lateralis biopsies of each subject from the three groups (bed rest only: BRC; Exercise: BRE; Nutrition: BRN). six technical replicate values (2 duplicate hybridizations a et b to chips with triplicate spots xxx) were obtained for each skeletal muscle sample. Thus for each subject, 12 expression measurements (6 before BR and 6 after BR) were obtained for each muscle.","Tissue
Bed Rest
Exercise
Nutrition",transcription profiling,,,10.26030/3w73-jn41
OSD-52,Expression data from SPHINX (SPaceflight of Huvec: an INtegrated eXperiment),Homo sapiens,Spaceflight Study,"Changes in the physical environment modulate cell responses and may lead to the impairment or even failure of tissue function as a result of mechanotransduction processes. It has been suggested that this situation occurs in some age-related diseases and some pathological conditions observed in space, such as cardiovascular deconditioning, bone loss, muscle atrophy, and impaired immune responses. All of these are associated with endothelial dysfunction but the precise mechanism is still unclear. We used the microarray approach to obtain insights into the mechanism responsible for endothelial dysfunction by taking advantage of the challenging environment of gravitational unloading onboard the International Space Station. The effects of gravitational unloading on HUVEC gene expression were investigated by means of cDNA microarray analyses of six randomly chosen samples (three for each of the two conditions of spaceflight and 1g) using Affymetrix Gene Human 1.0 ST Arrays",Spaceflight,transcription profiling,Expedition 25/26,Opticell,10.26030/nt3p-p547
OSD-53,Spaceflight Modulates Gene Expression in Astronauts,Homo sapiens,Spaceflight Study,"Astronauts are exposed to a unique combination of stressors during spaceflight, which leads to alterations in their physiology and potentially increases their susceptibility to infectious pathogens. Here we report the first microarray evaluation of any astronaut tissue sample, specifically whole blood, before and after spaceflight using an array comprising 234 well-characterized stress response genes. Differentially regulated genes included those important for DNA repair, oxidative stress, and protein folding/degradation. Microarrays comprising 234 well characterized stress-related genes were used to profile transcriptomic changes in six astronauts before and after short-duration spaceflight. Blood samples were collected for analysis from each eastronaut 10 days prior and 2-3 hours after return from spaceflight. Data submitted for platform GPL140 contain genes that have been pre-filtered by the analytical software to remove values of low certainty, resulting in missing values for some samples. Unfortunately, these original data are no longer available due to physical damage at Tulane University during hurricane Katrina, but the processed values were retained in redundant locations and these are submitted for upload to GEO.","Spaceflight
Sex
Study Subject
Time",transcription profiling,,,10.25966/qsf7-cr81
OSD-54,Immune responses to the in vitro LPS assault engineered in the spaceflight multi-omics study,Homo sapiens,Spaceflight Study,"Microgravity alters the immune response to in vitro LPS assault engineered in spaceflight: A multi-omics study Microgravity can facilitate creation of a potent environment for opportunistic infection by augmenting virulence and suppressing the host defense. Presumably, extraterrestrial infection may trigger potentially novel bionetworks different from the terrestrial equivalent, which could only be probed by investigating the host-pathogen relationship with minimum terrestrial bias. Towards this objective, we strategically engineered a cell culture module equipped with a feedback controlled semi-automated platform to expose human endothelial cells to lipopolysaccharide (LPS). The assay was carried out in the STS-135 space shuttle, and a concurrent ground study constituted the baseline. Transcriptomic investigation revealed an immune blunting in microgravity; Lbp, MyD88 and MD-2 failed to encode proteins responsible for early LPS uptake. Longer exposure results implied that there was a delayed response, potentially ineffectual in preventing pathogens from opportunistically modulating the infection network. Lack of recruitment of growth factors and a debilitated apoptosome supported this potential explanation. Certain cytokines, such as IL-6 and IL-8, surged in response to LPS insult in microgravity. Contrasting expressions of B2M, TIMP-1 and VEGRs suggested impaired pro-survival adaptation and healing mechanisms. The susceptibility of oxidative stress and immune regulation to microgravity compelled further investigation of the respective microRNA modulators such as miR-200a and miR-146b. These miRNAs were expressed differently in response to LPS assaults in different gravitational limits. In conclusion, despite a serious drawback attributed to the small sample size, we delineated some of the important aspects of the extraterrestrial etiology; more comprehensive follow up studies are warranted. Present study though compromised by the small sample size was able to shade lights on several aspects of immunological responses to the endotoxic assault mediated by uG. Implementing the host-pathogen interactions in the spaceflight and subsequently lysing the cells onboard presented the critical distinguishing features of the present study from the past reports. We identified the CCM of Tissue Genesis, Inc., HI as the suitable hardware system to carry out the experiment in the spaceflight. CCM is an automated, feedback controlled module that can concurrently support 24 bioreactors following protocols exclusively programmed for individual bioreactor. For this experiment we use samples EA41, EA 47, EA45, and EA155 that were exposed to LPS for 4 hours. Samples EA123, EA165, EA127, EA126 were exposed to LPS for 8Hrs. Samples EA33, EA 125, EA79 and EA 39 were controls in this experiment.","Treatment
Treatment Duration
Microgravity
Absorbed Radiation Dose",transcription profiling,STS-135,CCM,10.26030/8mfb-wa73
OSD-55,microRNA expression profiles in human peripheral blood lymphocytes cultured in modeled microgravity,Homo sapiens,Ground Study,"In the present study we analyzed miRNA and mRNA expression profiles in human peripheral blood lymphocytes (PBLs) incubated in microgravity condition, simulated by a ground-based Rotating Wall Vessel (RWV) bioreactor. Our results show that 42 miRNAs were differentially expressed in MMG-incubated PBLs compared with 1g-incubated ones. Among these, miR-9-5p, miR-9-3p, miR-155-5p, miR-150-3p, and miR-378-3p were the most dysregulated. To improve the detection of functional miRNA-mRNA pairs we performed gene expression profiles on the same samples assayed for miRNA profiling and we integrated miRNA and mRNA expression data. The functional classification of miRNA-correlated genes evidenced significant enrichments in the biological processes of immune/inflammatory response, signal transduction, regulation of response to stress, regulation of programmed cell death and regulation of cell proliferation. We identified the correlation between miR-9-3p, miR-155-5p, miR-150-3p and miR-378-3p expression with that of genes involved in immune/inflammatory response (eg. IFNG and IL17F), apoptosis (eg. PDCD4 and PTEN) and cell proliferation (eg. NKX3-1 and GADD45A). Experimental assays of cell viability and apoptosis induction validated the results obtained by bioinformatics analyses demonstrating that in human PBLs the exposure to reduced gravitational force increases the frequency of apoptosis and decreases cell proliferation. microRNA expression profiling were carried out on total RNA extracted from PBLs of twelve healthy donors at the end of 24h-incubation time in MMG and in 1g conditions. Analyses were performed by using the Human miRNA Microarray kit (V2) (Agilent Technologies), that allows the detection of 723 known human (miRBase v.10.1) and 76 human viral miRNAs. By comparing the expression profile of MMG-incubated vs. 1g-incubated PBLs of the same donor, we found 42 differentially expressed miRNAs, 25 up-regulated and 17 down-regulated.","Simulated Microgravity
Individual",transcription profiling,,Rotating Wall Vessel,10.26030/9thk-dv75
OSD-56,Gene expression profiling of human peripheral blood lymphocytes cultured in modeled microgravity,Homo sapiens,Ground Study,"In the present study we analyzed miRNA and mRNA expression profiles in human peripheral blood lymphocytes (PBLs) incubated in microgravity condition, simulated by a ground-based Rotating Wall Vessel (RWV) bioreactor. Our results show that 42 miRNAs were differentially expressed in MMG-incubated PBLs compared with 1g-incubated ones. Among these, miR-9-5p, miR-9-3p, miR-155-5p, miR-150-3p, and miR-378-3p were the most dysregulated. To improve the detection of functional miRNA-mRNA pairs we performed gene expression profiles on the same samples assayed for miRNA profiling and we integrated miRNA and mRNA expression data. The functional classification of miRNA-correlated genes evidenced significant enrichments in the biological processes of immune/inflammatory response, signal transduction, regulation of response to stress, regulation of programmed cell death and regulation of cell proliferation. We identified the correlation between miR-9-3p, miR-155-5p, miR-150-3p and miR-378-3p expression with that of genes involved in immune/inflammatory response (eg. IFNG and IL17F), apoptosis (eg. PDCD4 and PTEN) and cell proliferation (eg. NKX3-1 and GADD45A). Experimental assays of cell viability and apoptosis induction validated the results obtained by bioinformatics analyses demonstrating that in human PBLs the exposure to reduced gravitational force increases the frequency of apoptosis and decreases cell proliferation. Gene expression profiling was carried out in MMG-incubated PBLs vs. 1g-incubated PBLs on total RNA extracted from the same PBL samples assayed for miRNA profiling. We used the Whole Human Genome Oligo Microarray (Agilent), consisting of ~41.000 (60-mer) oligonucleotide probes, which span conserved exons across the transcripts of the targeted full-length genes.","simulated microgravity
individual",transcription profiling,,Rotating Wall Vessel,10.26030/nc96-xp67
OSD-57,RNA-Seq analysis identifies potential modulators of gravity response in Ceratopteris spores: Evidence for modulation by calcium pumps and apyrase activity,Ceratopteris richardii,Ground Study,"Gravity regulates the magnitude and direction of a trans-cell calcium current in germinating spores of Ceratopteris richardii. Blocking this current with nifedipine blocks the spore's downward polarity alignment, a polarization that is fixed by gravity 10 h after light induces the spores to germinate. RNA-seq analysis at 10 h was used to identify genes potentially important for the gravity response. The data set will be valuable for other developmental and phylogenetic studies.",treatment,transcription profiling,,,10.25966/b9jj-pp51
OSD-58,Genes Required for Survival in Microgravity Revealed by Genome-Wide Yeast Deletion Collections Cultured during Spaceflight,Saccharomyces cerevisiae,Flight Study,"Spaceflight is a unique environment with profound effects on biological systems including tissue redistribution and musculoskeletal stresses. However, the more subtle biological effects of spaceflight on cells and organisms are difficult to measure in a systematic, unbiased manner. Here we test the utility of the molecularly barcoded yeast deletion collection to provide a quantitative assessment of the effects of microgravity on a model organism. We developed robust hardware to screen, in parallel, the complete collection of ~4800 homozygous and ~5900 heterozygous (including ~1100 single-copy deletions of essential genes) yeast deletion strains, each carrying unique DNA that acts as strain identifiers. We compared strain fitness for the homozygous and heterozygous yeast deletion collections grown in spaceflight and ground, as well as plus and minus hyperosmolar sodium chloride, providing a second additive stressor. The genome-wide sensitivity profiles obtained from these treatments were then queried for their similarity to a compendium of drugs whose effects on the yeast collection have been previously reported. We found that the effects of spaceflight have high concordance with the effects of DNA-damaging agents and changes in redox state, suggesting mechanisms by which spaceflight may negatively affect cell fitness.","culture media
space flight
zygosity
generation number",deletion pool profiling,STS-135,Opticell Processing Module,
OSD-59,RNA-Seq transcriptome analysis of reactive oxygen species gene network in Mizuna plants grown in long-term space flight,Brassica rapa,Spaceflight Study,"Space environment is suspected to generate reactive oxygen species (ROS) and induce oxidative stress in plants, however, little is known about the gene expression of ROS gene network in plants grown in long-term space flight. RNA-Seq was used to define the large-scale gene expression profiles of Mizuna harvested after 27 days cultivation in the international space station to understand the molecular response and adaptation to space environment.Results: Total reads of transcripts from the Mizuna grown in the international space station as well as on the ground by RNA-Seq using next generation sequencing technology showed 8,258 and 14,170 transcripts up- and down-regulated in the space-grown Mizuna, respectively, when compared with those from the ground-grown Mizuna. A total of 20 in 32 ROS oxidative marker genes were up-regulated, including high expression of 4 hallmarks, and preferentially expressed gene associated with ROS-scavenging genes was thioredoxin, glutaredoxin, and alternative oxidase genes. In the transcription factors of ROS gene network , MEKK1-MKK4-MPK3, OXI1-MKK4-MPK3, and OXI1-MPK3 of MAP cascades, induction of WRKY22 by MEKK1-MKK4-MPK3 cascade, induction of WRKY25 and repression of ZAT7 by Zat12 were suggested. RbohD and RbohF genes were up-regulated preferentially in NADPH oxidase genes, which produce ROS.Conclusions: Our large-scale transcriptome analysis demonstrated that the space environment induced oxidative stress and ROS gene network was activated in the space-grown Mizuna, some of which were common genes up-regulated by abiotic and biotic stress and were preferentially up-regulated genes by the space environment, even though Mizuna grew in the space as well as on the ground, showing that plants could acclimate to the space environment by reprograming the expression of ROS gene network.",Spaceflight,transcription profiling,Expedition 22,Lada,10.26030/4w3q-hk88
OSD-60,Exposure of zebrafish larvae to relative microgravity between 5-6 days post-fertilization,Danio rerio,Ground Study,"The general objective of the study was to determine modulation of gene expression by environmental factors, with a special emphasis on bone formation. For this reason, the specific period of treatment was chosen between 5-6 days post-fertilization (dpf), when bone formation and calcification are taking place. This experiment was designed as a new type of gravitational experiment, which we like to call relative microgravity, referring to the fact that the larvae first grow in hyper gravity for 5 days and are then returned to 1g normal gravity for 1 day. Zebrafish embryos were placed on a Large Diameter Centrifuge at 3 hpf, brought to a gravitational force of 3 g until 5 dpf. Reference embryos were kept in parallel at 1g (Inc). At 5dpf, one batch was left at 3g (3g), one batch was returned to 1g (3g>1g), while a third batch was returned to 1g, but left on the axis of the centrifuge (Axe; 3g>Axe). The experiment was repeated 4 times, each time with 4 batches of 60 larvae.",hypergravity,transcription profiling,,,10.26030/htq8-e274
OSD-61,Effect of a 91 day long stay in weightlessness on the International Space Station on mouse skin physiology,Mus musculus,Spaceflight Study,"Comparative gene expression in skin between mice maintained in microgravity (0g) and normogravity (1g) environment. Six male C57Bl/J10 mice were housed for 91 days in the specially designed Mouse Drawer System in weightlessness aboard the International Space Station. Three wild-type mice (WT) and three transgenic mice overexpressing the osteogneic factor PTN/OSF1 under the control of the human bone specific ostecalcin promoter (Tg) were used in the experiment. During the 3-month stay on the ISS, 3 mice unfortunately died leaving 2 Tg and 1 WT. MDS tissue sharing program allowed several teams to study various tissues from these mice. Our aim was to investigate the effect of such a long period of microgravity on skin physiology by morphological, biochemical and genomewide analyses by comparison to similar mice on ground. Gene expression in the skin of 3 space mice and of 3 ground mice was analyzed by microarray. As this unique experiment performed on 3 mice limits the power of statistical analyis, as the transgene PTN/OSF1 was not overexpressed in skin and as a pair wise Pearson's correlation rates between the individual levels of expressed transcripts in the WT and the Tg mice were not significantly different from each other in one experimental group (space or ground), data from the 3 mice were combined to compare results from the space an ground groups.","Spaceflight
Genotype",transcription profiling,"STS-128, STS-129",Mice Drawer System (MDS),10.26030/2zjp-sj35
OSD-62,Molecular mechanism of flocculation self-recognition in yeast and its role in mating and survival,Saccharomyces cerevisiae,Spaceflight Study,"Saccharomyces cerevisiae flocculation occurs when fermentable sugars are limiting and is therefore considered as a way to enhance the survival chance of Flo-expressing yeast cells. In this paper, the role of Flo1p in mating was demonstrated by showing that the mating efficiency, which contributes to the increased survival rate as well by generating genetic variability, is increased when cells flocculate. This was revealed by liquid growth experiments in a low shear environment and differential transcriptome analysis of FLO1 expressing cells compared to the non-flocculent wild-type cells. The results show that a floc provides a uniquely organized multicellular ultrastructure that provides a suitable microenvironment to induce and perform cell conjugation. S. cerevisiae strains BY4742 WT, BY4742::FLO8 and BY4742 [FLO1] were grown in microgravity and 1-g. A transcriptomic analysis was performed and the transcriptome data were integrated with the high quality protein-protein interaction networks. The identified high score sub-networks (qvalue < 0.001) were considered and further evaluated concerning their GO enrichment using a hypogeometric test. The data were from the Ying B-1 experiment.","Spaceflight
Genotype",transcription profiling,ISS Increment 19 / 20,BioLab Yeast Bioreactor,10.26030/gmec-d793
OSD-63,"Transcription profiling of rat response to changes in developmental stage - 3 types of tissue, 3 gravity conditions, 2 developmental conditions",Rattus norvegicus,Spaceflight Study,"Transcriptional crosstalk between mammary gland, liver and adipose tissue Experiment Overall Design: Pregnant and Lactating rats exposed to 3 gravity conditions","Tissue Type
Spaceflight
Developmental Condition
Hypergravity
Cosmic Radiation",transcription profiling,STS-70,Animal Enclosure Module (AEM),10.26030/gsmt-8e70
OSD-64,"Microbial Observatory (ISS-MO): Molecular characterization of Bacillus issensis, sp. nov., isolated from various quarters of the International Space Station",Bacillus,Spaceflight Study,"As part of an ongoing effort to catalogue microbial communities inhabiting the International Space Station (ISS), crew-associated environmental samples were collected from the Japanese Kibo, Russian, and US research modules. Initial analysis based on 16S rRNA gene sequencing identified 11 Bacillus isolates (two from Kibo Japanese Experiment Module (JEM), four from US Segment Harmony Node 2 and five from Russian Segment Zvezda module sites), all belonging to the Bacillus anthracis-B. cereus-B. thuringiensis group. Isolates were further characterized by whole genome comparative analysis. Each isolate was sequenced, assembled, and aligned against all members of the B. cereus sensu lato group. Based on genome size estimates (5.2 - 5.3 Mbp), strain nucleotide identity (>99.99%), and maximum likelihood phylogenetic placement, all isolates were found to exhibit a very high level of similarity. With respect to gene content, all isolates were inspected for cry proteins common to B. thuringiensis as well as toxins specific to B. cereus. No significant hits were found to any known cry genes, while full-length matches were found for multiple B. cereus toxin genes. Finally, the isolates were closely screened against B. anthracis genomes, and no B. anthracis signatures were identified. Notably, all isolates contained the plcR ancestral C allele and lacked significant hits to pXO1 and pXO2 plasmids and toxins. The collective results from the analysis confirm that these strains belong to a previously uncharacterized Bacillus species, hereafter referred to as Bacillus issensis. The type strain is ISSFR-003T (=NRRL B-65389T= DSMZ 101676T).",Spaceflight,genome sequencing,"ISS Increments 42,43",International Space Station (ISS),10.26030/hk50-2z37
OSD-65,Microbial Observatory (ISS-MO): Microbial diversity,Microbiota,Spaceflight Study,"The environmental microbiome study was designed to decipher microbial diversity of the International Space Station surfaces in terms of spatial and temporal distributions using 16S and ITS iTag Illumina sequencing. We hypothesized that the microbial population of environmental surfaces changes in time due to astronauts' activity and might be location specific. The environmental samples were collected with the polyester wipes from eight different locations in the ISS during two consecutive sampling sessions (three months apart). The specific objective was to unveil the viable microbial diversity of each location during two separate sessions in terms of abundance and richness of the communities. The International Space Station (ISS) as a closed built environment has its own environmental microbiome which is shaped by microgravity, radiation, and limited human presence. The microbial diversity associated with ISS environmental surfaces was investigated during this study. Polyester wipes and contact slides were used for sampling of eight various surface locations on the ISS at different time periods. The samples were retrieved and analyzed immediately upon the return to the Earth (via Soyuz TMA-14M or Dragon capsule from SpaceX). After surface sample collection, contact slides containing nutrient media for the growth of bacteria and fungi were incubated at 25C. The polyester wipes were processed to measure microbial burden (R2A, Blood Agar, and Potato Dextrose Agar) and recover cultivable bacteria as well as fungi. Subsequently, viable microbial burden was assessed using Adenosine Triphosphate (ATP) assay, and quantitative polymerase chain reaction (PCR) methods after propidium monoazide (PMA) treatment. The 16S-tag and metagenome analyses were used to elucidate viable microbial diversity. The cultivable bacterial population yield from the polyester wipes was very high (5 to 7-logs) when compared with the contact slides (102 to 103 CFU/m2). The PMA-qPCR analysis showed considerable variation of viable bacterial population (105 to 109 16S rDNA gene copies/m2) among locations sampled. Unlike contact slides, polyester wipes cover much larger sample surface (~1 m2) and produce much more reliable results of the microbial diversity of the ISS covering both cultivable and non-cultivable species. The cultivable, total, and viable microbial diversity was determined utilizing state-of-the art molecular techniques. The implementation of the PMA assay before DNA extraction allowed distinguishing viable microorganisms, which is crucial for determining their role to the crew health, the ISS maintenance and the general knowledge of the closed environmentally controlled built systems.",Spaceflight,"Amplicon Sequencing
Amplicon Sequencing","SpaceX-5, SpaceX-6",International Space Station (ISS),10.26030/k2s7-ke78
OSD-66,Microbial Observatory (ISS-MO): Antimicrobial resistance genes,cellular organisms,Spaceflight Study,"The environmental samples were collected with the polyester wipes from eight different locations in the International Space Station (ISS) during two consecutive sampling sessions (three months apart) within the ISS Microbial Observatory Experiment. DNA extracted from each of the samples was used to create amplicon libraries based on customized panel of 500 antimicrobial resistance genes followed by next-generation sequencing. This is the first study of that shows the reservoir of antimicrobial genes in the ISS. The International Space Station (ISS) as a closed built environment has its own environmental microbiome which is shaped by microgravity, radiation, and limited human presence. The microbial diversity associated with ISS environmental surfaces was investigated during this study. Polyester wipes and contact slides were used for sampling of eight various surface locations on the ISS at different time periods. The samples were retrieved and analyzed immediately upon the return to the Earth (via Soyuz TMA-14M or Dragon capsule from SpaceX). After surface sample collection, contact slides containing nutrient media for the growth of bacteria and fungi were incubated at 25˚C. The polyester wipes were processed to measure microbial burden (R2A, Blood Agar, and Potato Dextrose Agar) and recover cultivable bacteria as well as fungi. Subsequently, viable microbial burden was assessed using Adenosine Triphosphate (ATP) assay, and quantitative polymerase chain reaction (PCR) methods after propidium monoazide (PMA) treatment. The 16S-tag and metagenome analyses were used to elucidate viable microbial diversity. The cultivable bacterial population yield from the polyester wipes was very high (5 to 7-logs) when compared with the contact slides (102 to 103 CFU/m2). The PMA-qPCR analysis showed considerable variation of viable bacterial population (105 to 109 16S rDNA gene copies/m2) among locations sampled. Unlike contact slides, polyester wipes cover much larger sample surface (~1 m2) and produce much more reliable results of the microbial diversity of the ISS covering both cultivable and non-cultivable species. The cultivable, total, and viable microbial diversity was determined utilizing state-of-the art molecular techniques. The implementation of the PMA assay before DNA extraction allowed distinguishing viable microorganisms, which is crucial for determining their role to the crew health, the ISS maintenance and the general knowledge of the closed environmentally controlled built systems.",spaceflight,environmental gene survey,"ISS Increments 42, 43",International Space Station (ISS),10.26030/w5pk-ny60
OSD-67,Microbial Observatory (ISS-MO): Study of BSL-2 bacterial isolates from the International Space Station,"Acinetobacter pittii
Enterobacter
Klebsiella
Pantoea conspicua
Staphylococcus
Staphylococcus aureus",Spaceflight Study,"In an on-going Microbial Observatory experimental investigation on the International Space Station (ISS), multiple bacterial isolates of Biosafety Level 2 (BSL-2) were isolated and identified. The antibiotic susceptibility pattern was tested in these BSL-2 isolates for the following antibiotics: cefazolin, ciprofloxacin, cefoxitin, erythromycin, gentamycin, oxacillin, penicillin, rifampin, tobramycin and many of the BSL-2 isolates showed multiple drug resistance. Among these isolates, 21 strains were chosen for whole genome sequencing (WGS) for a possible lead to develop appropriate countermeasures. In addition, the genomic data would enable to determine the influence of microgravity on the pathogenicity and virulence in the BSL-2 microorganisms.",Microgravity,genome sequencing,"ISS Increments 42,43",International Space Station (ISS),10.26030/36vg-ac12
OSD-68,Microbial Observatory (ISS-MO): Draft Genome Sequence of two Aspergillus fumigatus Strains Isolated from the International Space Station,Aspergillus fumigatus,Spaceflight Study,"Aspergillus fumigatus is a saprophytic, filamentous fungus that is ubiquitous outdoors (soil, decaying vegetation) and indoors (hospitals, simulated closed habitats, etc.). A. fumigatus can adapt to various environmental conditions and form airborne conidia that are the inoculum for a variety of diseases (e.g. non- and invasive pulmonary infections, allergic bronchopulmonary aspergillosis, etc.) in immunocompromised hosts. In an on-going Microbial Observatory Experiments on the International Space Station (ISS) molecular phylogeny of several fungal isolates were characterized. Two strains, ISSF 21 and IF1SW-F4, were isolated from the HEPA filter and the surface of the Cupola of the ISS, respectively. Using primers targeting the internal transcribed spacers ITS1 and 2, both isolates were identified as A. fumigatus. The whole genome sequence analysis of ISSF 21 revealed increased number of single nucleotide polymorphisms (SNPs) when compared to the reference A. fumigatus 293. Knowing that A. fumigatus is an opportunistic pathogen and microgravity highly influences the antibiotic susceptibility and pathogenicity of microorganisms, we examined pathogenicity of both ISS isolates using the zebrafish larval model. The space station isolates (ISSF-021 and IF1SW-F4) were more virulent than two clinical strains (Af293 and CEA10) whose pathogenicity was highly characterized. Here the whole genome sequences of ISSF-021 strain are being deposited.",spaceflight,genome sequencing,ISS Increment 42,International Space Station (ISS),10.26030/9pxd-tj61
OSD-69,Microbial Observatory (ISS-MO): Indoor microbiome study of the International Space Station surfaces,cellular organisms,Spaceflight Study,"Presented here is the environmental microbiome study of the International Space Station surfaces. The environmental samples were collected with the polyester wipes from eight different locations in the ISS during two consecutive sampling sessions (three months apart). The specific objective was to unveil the pool of genes for each location during two separate sessions to learn of functional and metabolic diversity of microorganisms in the ISS. The International Space Station (ISS) as a closed built environment has its own environmental microbiome which is shaped by microgravity, radiation, and limited human presence. The microbial diversity associated with ISS environmental surfaces was investigated during this study. Polyester wipes and contact slides were used for sampling of eight various surface locations on the ISS at different time periods. The samples were retrieved and analyzed immediately upon the return to the Earth (via Soyuz TMA-14M or Dragon capsule from SpaceX). After surface sample collection, contact slides containing nutrient media for the growth of bacteria and fungi were incubated at 25C. The polyester wipes were processed to measure microbial burden (R2A, Blood Agar, and Potato Dextrose Agar) and recover cultivable bacteria as well as fungi. Subsequently, viable microbial burden was assessed using Adenosine Triphosphate (ATP) assay, and quantitative polymerase chain reaction (PCR) methods after propidium monoazide (PMA) treatment. The 16S-tag and metagenome analyses were used to elucidate viable microbial diversity. The cultivable bacterial population yield from the polyester wipes was very high (5 to 7-logs) when compared with the contact slides (10^2 to 10^3 CFU/m2). The PMA-qPCR analysis showed considerable variation of viable bacterial population (10^5 to 10^9 16S rDNA gene copies/m2) among locations sampled. Unlike contact slides, polyester wipes cover much larger sample surface (~1 m2) and produce much more reliable results of the microbial diversity of the ISS covering both cultivable and non-cultivable species. The cultivable, total, and viable microbial diversity was determined utilizing state-of-the art molecular techniques. The implementation of the PMA assay before DNA extraction allowed distinguishing viable microorganisms, which is crucial for determining their role to the crew health, the ISS maintenance and the general knowledge of the closed environmentally controlled built systems.","Spaceflight
Treatment",metagenome profiling,ISS Increments 42,International space station (ISS),10.26030/cary-q426
